city,year,Date_Quarter,bedrooms_count,average_rate_per_night,latitude,longitude,counties,zipcodes
Breckenridge,2016,Second,4,$225,32.7999800551476,-98.8443266414931,Stephens County,
Houston,2016,Third,1,$88,29.8262783359522,-95.0782393406197,Harris County,77049
Spicewood,2016,Fourth,1,$85,30.387709501143497,-98.09081262452308,Travis County,78669
Fort Worth,2017,Second,7,$499,32.6499464788143,-97.4059861969121,Tarrant County,76133
Dallas,2016,Second,1,$25,32.7866364570642,-96.87466868796459,Dallas County,75212
Killeen,2016,Third,1,$35,31.0883139608392,-97.77755412368471,Bell County,76549
New Braunfels,2013,Second,2,$370,29.7047139280502,-98.12010313260441,Comal County,78130
Abilene,2016,Third,3,$500,32.436160808846395,-99.7740097883848,Taylor County,79605
Houston,2017,First,1,$35,29.703897011006898,-95.6639534141498,Harris County,77083
Abilene,2015,Fourth,3,$85,32.4378100178221,-99.69983992222859,Taylor County,79602
Austin,2017,Second,1,$50,30.232940805892802,-97.58937812320829,Travis County,78725
Fort Worth,2014,Fourth,2,$117,32.7665072085702,-97.3287367093026,Tarrant County,76102
Marble Falls,2014,First,2,$244,30.5511186819018,-98.28646130734221,Burnet County,76654
Pasadena,2015,Third,3,$850,29.647322509057197,-95.13905354682129,Harris County,77505
College Station,2016,First,1,$52,30.5976927003456,-96.33721105092128,Brazos County,77840
San Antonio,2016,Third,5,$450,29.516052765485398,-98.43504460673451,Bexar County,78217
Allen,2015,Second,4,$300,33.0953349702649,-96.70009475036949,Collin County,75013
Bandera,2014,Second,2,$207,29.7170390036753,-99.0821206583391,Bandera County,78003
Humble,2016,First,2,$100,30.019379768387104,-95.3081879543499,Harris County,77338
San Antonio,2017,Second,2,$105,29.4154295645797,-98.4815961410352,Bexar County,78205
Humble,2017,First,3,$81,30.000942588551997,-95.25816793356572,Harris County,77338
Fort Worth,2017,Second,1,$40,32.9175327861862,-97.3369000113723,Tarrant County,76177
Katy,2017,Second,3,$120,29.750282282879702,-95.79191394825571,Fort Bend County,77494
Irving,2015,Fourth,1,$59,32.8808895257126,-96.94281766718659,Dallas County,75039
Manor,2017,Second,1,$45,30.3529023735145,-97.5156872338966,Travis County,78653
Katy,2016,Second,1,$30,29.7554787684517,-95.7889963311194,Fort Bend County,77494
League City,2013,Second,3,$199,29.5397107463303,-95.0751853608604,Galveston County,77573
Houston,2016,Second,1,$38,29.6894518062607,-95.3932525448847,Harris County,77054
Bryan,2017,Second,3,$250,30.6404394654232,-96.3380479290165,Brazos County,77802
Houston,2017,First,1,$45,29.688898609425696,-95.39527325804809,Harris County,77054
Conroe,2017,First,1,$800,30.2447257963802,-95.4382270959255,Montgomery County,77302
San Antonio,2016,Second,1,$40,29.482413842415102,-98.4100152761692,Bexar County,78218
Houston,2017,First,2,$150,29.536286005939303,-95.0866965595521,Harris County,77058
Concan,2016,First,4,$1083,29.532130665492502,-99.69302160886791,Uvalde County,
Dallas,2016,Second,1,$35,32.853293011450894,-96.66028827102372,Dallas County,75228
Austin,2014,First,1,$130,30.2303850707103,-97.7658109511145,Travis County,78704
San Antonio,2015,Second,1,$22,29.5200790506943,-98.45505578224069,Bexar County,78217
Canyon Lake,2014,Second,2,$110,29.9145653581492,-98.26363154478571,Comal County,78133
Manor,2016,Second,1,$31,30.3580440831475,-97.5428903397274,Travis County,78653
Spring,2016,Fourth,3,$115,30.050417372472896,-95.34459326466428,Harris County,77373
Irving,2016,Second,1,$75,32.898033831496896,-96.9564130569912,Dallas County,75039
McKinney,2015,Fourth,1,$50,33.1958892146982,-96.6290797725223,Collin County,75069
Conroe,2014,First,2,$125,30.2034393736975,-95.4294110348945,Montgomery County,77385
College Station,2016,Fourth,2,$300,30.5872618645922,-96.2951515822694,Brazos County,77845
La Porte,2017,First,3,$800,29.6679832526087,-95.08367585372591,Harris County,77571
College Station,2016,Third,2,$800,30.6133901018266,-96.30687281617571,Brazos County,77840
Plano,2017,Second,1,$25,33.067470996905,-96.66369280026791,Collin County,75074
Fort Worth,2017,Second,1,$50,32.881564387892496,-97.26585470195221,Tarrant County,76137
Euless,2016,Second,1,$35,32.8311820815929,-97.10332628262908,Tarrant County,76040
Austin,2016,Fourth,2,$135,30.342859330909995,-97.73598703923821,Travis County,78757
Houston,2016,First,1,$35,30.036835722653898,-95.22608776661751,Harris County,77339
San Antonio,2016,Second,1,$45,29.706279393955104,-98.63299228170142,Bexar County,78015
Irving,2015,Second,3,$275,32.8641016055649,-96.9989210796452,Dallas County,75038
Katy,2017,First,Studio,$89,29.7544339066183,-95.7731594639303,Fort Bend County,77494
Buchanan Dam,2017,Second,3,$750,30.750224813200102,-98.41572006959471,Llano County,78609
Humble,2014,Fourth,4,$200,29.9295383838455,-95.250962378514,Harris County,77396
Baytown,2013,Fourth,1,$48,29.7458466093416,-94.9635595289327,Harris County,77520
Gary City,2016,First,1,$145,32.0380454506125,-94.45985039166719,Panola County,
Irving,2016,Second,1,$20,32.8324052560743,-96.9892684269925,Dallas County,75061
Bryan,2014,Fourth,1,$40,30.630176298663397,-96.367484430835,Brazos County,77801
Houston,2013,First,2,$1000,29.6979912705294,-95.2989319579218,Harris County,77087
Eustace,2016,Third,4,$345,32.2271363527621,-95.9940865461975,Henderson County,75124
Conroe,2017,First,4,$650,30.282281269074,-95.4871267846167,Montgomery County,77304
Colleyville,2015,Fourth,1,$75,32.890391892168395,-97.18186807484449,Tarrant County,76034
Mabank,2016,Fourth,1,$99,32.253340643642694,-96.08078979653129,Henderson County,75156
Cibolo,2017,First,3,$100,29.621228087871,-98.2231585094706,Guadalupe County,78108
New Braunfels,2015,Second,5,$375,29.716015997077196,-98.13737075749391,Comal County,78130
Allen,2014,First,2,$195,33.0913116724907,-96.6306320971205,Collin County,75002
Pipe Creek,2015,Third,3,$345,29.7277047065122,-98.86898765650851,Bandera County,78063
Houston,2015,First,Studio,$63,29.6930015769899,-95.2647797083077,Harris County,77017
College Station,2016,Third,2,$109,30.607235966896702,-96.3172831052125,Brazos County,77840
Houston,2015,Third,1,$60,29.755619217244398,-95.3494533308532,Harris County,77003
Austin,2014,Second,1,$199,30.2496223655014,-97.7221544297956,Travis County,78702
Katy,2015,Fourth,1,$30,29.7427052478368,-95.82376818722271,Fort Bend County,77494
San Antonio,2015,Third,1,$45,29.639149360250396,-98.42901023691151,Bexar County,78259
Dallas,2016,Second,1,$70,32.814336894916,-96.7697460584301,Dallas County,75204:75206
Haltom City,2016,Second,1,$36,32.853145050996396,-97.2774661838484,Tarrant County,76137
Navasota,2014,Second,1,$189,30.382500147831802,-96.0839698367111,Grimes County,77868
College Station,2015,First,3,$500,30.5628326409649,-96.29118907927759,Brazos County,77845
College Station,2015,Fourth,3,$350,30.6046186293228,-96.3302806710993,Brazos County,77840
South Padre Island,2017,Second,1,$200,26.098893801234603,-97.1641609789374,Cameron County,78597
Dallas,2015,Fourth,Studio,$80,32.7553290379744,-96.8432807551003,Dallas County,75208
Houston,2017,First,2,$400,29.6921713295803,-95.2783470236139,Harris County,77017
Corpus Christi,2014,Second,1,$165,27.6193485154352,-97.2220155884837,Nueces County,
Granbury,2015,Fourth,3,$150,32.3988207615305,-97.75762566508101,Hood County,76048
Houston,2017,Second,Studio,$55,29.7264359509513,-95.3192133817478,Harris County,77023
San Antonio,2016,Fourth,3,$50,29.596871229299197,-98.52481313464621,Bexar County,78248
Arlington,2017,Second,2,$40,32.6619983826257,-97.2060794951581,Tarrant County,76017
Dallas,2013,Fourth,1,$95,32.8078690832753,-96.8119959124337,Dallas County,75219
Port Aransas,2017,First,4,$335,27.805442767213698,-97.0819953097633,Nueces County,78373
Round Rock,2016,Second,3,$115,30.5094553405402,-97.6580660775221,Williamson County,78664
Sweeny,2016,Fourth,1,$45,29.087083185357198,-95.7230664775881,Brazoria County,77463
Euless,2015,Second,1,$39,32.835331204407304,-97.1085319029218,Tarrant County,76040
Plano,2016,Fourth,2,$110,33.118788824827696,-96.73917725374831,Collin County,75025
College Station,2016,Second,Studio,$98,30.621003561490802,-96.4492992637832,Brazos County,
Humble,2016,First,3,$175,29.9865691217172,-95.228183855981,Harris County,77338
Conroe,2017,Second,2,$80,30.205676610783502,-95.35012472611521,Montgomery County,77302
Frisco,2016,Fourth,1,$39,33.1161675775027,-96.92762318087429,Denton County,75036
Sealy,2016,Second,1,$75,29.7085223829199,-96.2242626498304,Austin County,77474
San Antonio,2014,Third,3,$125,29.444395931545202,-98.7174270319841,Bexar County,78253
Fort Worth,2015,First,3,$350,32.7482299739277,-97.37647856194201,Tarrant County,76107
San Antonio,2016,First,1,$26,29.5811238483994,-98.57656206987791,Bexar County,78249
College Station,2016,Third,1,$150,30.642070309582,-96.28920320767651,Brazos County,77802
Houston,2013,Second,3,$92,29.6465198030577,-95.4892127820601,Harris County,77035
Cibolo,2015,Third,3,$141,29.5849739656677,-98.2177863386465,Guadalupe County,78108
Shenandoah,2016,First,4,$200,30.1783247294327,-95.45222338272809,Montgomery County,77384-5317
Brenham,2017,Second,2,$103,30.2006913039261,-96.3647171919965,Washington County,77833
San Antonio,2016,Second,1,$41,29.482173335405303,-98.4090032907447,Bexar County,78218
Schertz,2015,Third,4,$105,29.5596787172581,-98.2579710251252,Guadalupe County,78154
Carrollton,2014,Third,1,$60,32.9634505340629,-96.8559090307613,Dallas County,75006
Hempstead,2015,Third,3,$200,30.042817731922398,-96.0441022271713,Waller County,77445
Fayetteville,2013,Second,2,$250,29.904262399005603,-96.6832407092038,Fayette County,78940
Fort Worth,2015,Third,1,$60,32.7537357538873,-97.3424848784559,Tarrant County,76102
Montgomery,2016,Third,1,$115,30.4032391294029,-95.61173103883792,Montgomery County,77356
Granbury,2016,Third,1,$289,32.3887692848791,-97.72726179567171,Hood County,76048
Richmond,2016,Third,2,$768,29.661012201945898,-95.6875379288713,Fort Bend County,77407
Cleburne,2016,Fourth,Studio,$50,32.473823024934894,-97.2854921583141,Johnson County,76031
New Braunfels,2017,First,1,$250,29.697921148649996,-98.11524852101459,Comal County,78130
New Braunfels,2017,First,1,$255,29.7068023049399,-98.1226594870134,Comal County,78130
Kemah,2015,Fourth,1,$115,29.5438015288405,-95.0170361966751,Galveston County,77565
Irving,2016,Second,1,$39,32.9178662238562,-96.9506872112102,Dallas County,75063
McKinney,2016,Second,4,$500,33.2191752768328,-96.55265029342979,Collin County,
Austin,2013,First,3,$454,30.2659474442269,-97.74144275164379,Travis County,78701
Concan,2016,First,5,$772,29.541282076022803,-99.69037871509079,Uvalde County,
Richmond,2016,Third,1,$150,29.648642953794198,-95.73533040374451,Fort Bend County,77406
Austin,2017,First,4,$201,30.2051582082483,-97.8782894974444,Travis County,78749
San Antonio,2016,First,1,$30,29.5695529752212,-98.36259270763331,Bexar County,78233
Corpus Christi,2015,Fourth,4,$703,27.6048345036833,-97.21074842684509,Nueces County,
Houston,2014,Second,3,$200,29.7448511701914,-95.38589968635709,Harris County,77006
Dallas,2014,First,1,$80,32.7976490914001,-96.7590570306705,Dallas County,75214
Richmond,2017,First,1,$600,29.6593859968125,-95.6902093878037,Fort Bend County,77407
Austin,2015,Fourth,1,$74,30.2236348464854,-97.7832984480592,Travis County,78745
Dallas,2016,First,3,$108,32.8267916673352,-96.67012107144069,Dallas County,75228
Bridge City,2015,Fourth,1,$90,30.0376126284903,-93.81030709523529,Orange County,
Dallas,2013,First,1,$74,32.829572414455,-96.7760965775098,Dallas County,75206
Lago Vista,2015,Fourth,2,$115,30.4405475927409,-98.02017659149722,Travis County,78645
Rockport,2017,Second,3,$325,28.162182208609,-97.0159964348255,Aransas County,78382
Tow,2016,Second,2,$99,30.850419486493802,-98.44988580801599,Llano County,78672
Rockport,2016,Third,3,$275,28.100133999236398,-97.03050334086879,Aransas County,78358
Bridgeport,2015,Fourth,3,$462,33.1698969188315,-97.8516045318167,Wise County,76426
Kingsville,2015,First,3,$135,27.5200754458012,-97.87982068224159,Kleberg County,78363
Kyle,2015,Third,3,$425,30.0165302367833,-97.87897808561571,Hays County,78640
Houston,2014,Fourth,Studio,$77,29.7405197238513,-95.40024893306509,Harris County,77006
San Antonio,2017,Second,2,$100,29.6632973373245,-98.62682746633091,Bexar County,78257
Dallas,2013,Fourth,1,$119,32.807433070096,-96.79499382795929,Dallas County,75204
Killeen,2017,First,1,$26,31.082051550123502,-97.80998783015009,Bell County,76549
Converse,2017,First,1,$20,29.4661132636654,-98.32325103427759,Bexar County,78109
Lakeway,2016,First,2,$243,30.371241095851897,-97.98738925826359,Travis County,78734
Corpus Christi,2016,Third,3,$189,27.7715241690328,-97.3953127080014,Nueces County,78404
Dallas,2015,Fourth,2,$141,32.8276812759784,-96.76334642331359,Dallas County,75214
Fort Worth,2017,Second,1,$63,32.779502858446996,-97.310586385024,Tarrant County,76111
Galveston,2015,Third,3,$295,29.2944880341968,-94.7836906680752,Galveston County,77550
Terlingua,2017,First,1,$30,29.3398642161903,-103.52593106602801,Brewster County,
Corpus Christi,2017,Second,2,$209,27.6054570774023,-97.2113020174096,Nueces County,78418
Houston,2016,Fourth,1,$86,29.754844815894998,-95.3891310070163,Harris County,77019
Euless,2014,Third,1,$123,32.864311085008396,-97.08096908017879,Tarrant County,76039
Houston,2015,Third,1,$55,29.7275804837081,-95.44585328261351,Harris County,77027
San Antonio,2015,First,2,$45,29.578137105205002,-98.4306561949239,Bexar County,78247
Buchanan Dam,2016,Third,3,$325,30.8031703597856,-98.4682395320128,Llano County,78609
Houston,2014,Fourth,Studio,$80,29.7460338423745,-95.384809764674,Harris County,77006
River Oaks,2016,Second,1,$38,32.7806223277513,-97.3881843061807,Tarrant County,76114
Austin,2017,Second,3,$410,30.3381690892277,-97.8241305812105,Travis County,78730
League City,2016,Third,1,$101,29.4855454904842,-95.0843968033268,Galveston County,77573
Saginaw,2015,Third,1,$45,32.8527623364869,-97.37723606446458,Tarrant County,76179
Belton,2014,Third,1,$42,31.0423037348337,-97.460236645667,Bell County,76513
Arlington,2016,First,4,$351,32.7677695801737,-97.12382879370371,Tarrant County,76012
Arlington,2016,Third,5,$350,32.6413569923787,-97.1631706702375,Tarrant County,76001
Katy,2016,Third,1,$28,29.704151239179602,-95.8228055837016,Fort Bend County,77494
Austin,2014,Fourth,1,$160,30.2661156477782,-97.73272580455341,Travis County,78702
McKinney,2016,Third,1,$45,33.1573283191934,-96.70865246076359,Collin County,75070
Bandera,2015,Third,1,$136,29.7223879999091,-99.0718185161959,Bandera County,78003
Houston,2015,Second,1,$55,29.674389322926302,-95.49536037502621,Harris County,77096
Canyon,2016,Second,4,$250,35.0206145390901,-101.90010741331498,Randall County,79015
Temple,2016,First,3,$160,31.0831502667859,-97.40213929525551,Bell County,76502
Austin,2016,Third,3,$187,30.1883540136786,-97.8160679525365,Travis County,78748
Little Elm,2017,Second,2,$99,33.1525698543904,-96.9691227509778,Denton County,75068
Richmond,2016,Fourth,3,$1000,29.685693621456,-95.723518523486,Fort Bend County,77407
League City,2016,Third,3,$160,29.509042580756503,-95.03171378088541,Galveston County,77573
Galveston,2016,Third,1,$175,29.301424859286698,-94.7950786060383,Galveston County,77553
Rockport,2015,Fourth,4,$633,28.070699451817198,-97.1086692946036,Aransas County,78382
Houston,2016,Fourth,2,$600,29.7467838387212,-95.336104748711,Harris County,77003
Corpus Christi,2014,Second,1,$250,27.8263185214808,-97.38456602709559,Nueces County,78402
League City,2016,First,1,$55,29.514376785682696,-95.0588107689608,Galveston County,77573
Tool,2016,First,2,$185,32.3060116488592,-96.1798822496804,Henderson County,
South Padre Island,2017,First,2,$265,26.102590935668,-97.1650852327956,Cameron County,78597
Dallas,2015,Second,2,$205,32.804390815560104,-96.7849654251292,Dallas County,75204
Sugar Land,2017,First,3,$100,29.581411248610102,-95.6581685780139,Fort Bend County,77479
Rockport,2017,First,2,$193,28.045489231670004,-97.029337029219,Aransas County,78382
San Antonio,2016,First,1,$53,29.508239369145397,-98.4699189789674,Bexar County,78209
Denton,2017,First,1,$59,33.242765679148995,-97.112444733219,Denton County,76209
Galveston,2015,Fourth,1,$250,29.247022145963395,-94.8591441864137,Galveston County,77552
Galveston,2014,Second,2,$150,29.2817150736862,-94.80228138297791,Galveston County,77550
Seabrook,2014,Third,1,$70,29.5830746197614,-95.0142029884953,Harris County,77586
Rogers,2016,Third,2,$139,30.966597202648,-97.3175293623119,Bell County,76569
Rockport,2017,Second,4,$553,28.0774964949373,-97.09183996396641,Aransas County,78382
Houston,2016,Fourth,1,$140,29.770731644544,-95.3722039787533,Harris County,77007
Fort Worth,2016,First,Studio,$90,32.7419482119409,-97.3824683397523,Tarrant County,76107
Harker Heights,2014,Second,2,$72,31.0635119939671,-97.63620315484708,Bell County,76548
Austin,2016,Fourth,Studio,$79,30.267047893547,-97.68989589072149,Travis County,78721
Terlingua,2015,Fourth,1,$114,29.492631336063,-103.36991326469601,Brewster County,
Austin,2017,First,2,$139,30.274566993262898,-97.75805920144421,Travis County,78703
Houston,2016,Second,1,$40,29.680862607147898,-95.4187021642165,Harris County,77054
Arlington,2014,Second,2,$218,32.7638660568646,-97.0789489588919,Tarrant County,76011
Hickory Creek,2013,Second,3,$225,33.1196268937938,-97.03793114753651,Denton County,75065
Buda,2017,First,1,$50,30.0598815558375,-97.8143251048119,Hays County,78610
Dallas,2014,First,1,$65,32.8192642423452,-96.78957174818109,Dallas County,75205
College Station,2016,First,1,$50,30.5960709091307,-96.324427117143,Brazos County,77840
Houston,2014,Second,1,$51,29.582313231976105,-95.1456904463122,Harris County,77062
Canton,2016,Third,1,$145,32.4733227881567,-95.90929915703609,Van Zandt County,75103
Austin,2015,First,1,$130,30.192371346370102,-97.78161269523821,Travis County,78745
Austin,2014,Second,1,$40,30.1925213034893,-97.73138523112,Travis County,78744
Celina,2017,First,3,$625,33.3969902643216,-96.66455138411591,Collin County,75009
College Station,2015,Fourth,1,$12,30.618902952209897,-96.3489400818266,Brazos County,77840
Corpus Christi,2016,First,2,$189,27.6148694891291,-97.2973589200651,Nueces County,78418
Fort Worth,2015,First,3,$110,32.7034955637742,-97.4339005450422,Tarrant County,76116
Galveston,2016,Fourth,1,$140,29.246269006473497,-94.86695397330179,Galveston County,77552
Temple,2015,Second,1,$109,31.0345698865521,-97.4099928947833,Bell County,
White Settlement,2016,Third,1,$40,32.7440063176307,-97.47084844070999,Tarrant County,76108
Austin,2014,First,1,$550,30.2764078315916,-97.6259164115658,Travis County,78724
Houston,2017,First,1,$90,29.7340555178507,-95.4002976297431,Harris County,77098
Roanoke,2016,Third,1,$25,33.0141560833139,-97.26560701380009,Denton County,76262
Fort Worth,2014,Fourth,2,$400,32.7498110923156,-97.37726356235201,Tarrant County,76107
Austin,2014,First,1,$43,30.2474313996375,-97.77883534993641,Travis County,78704
Grapevine,2016,Second,1,$61,32.8847007900231,-97.09228608198879,Tarrant County,76051
Galveston,2014,First,2,$121,29.287434589272,-94.8030410340963,Galveston County,77550
Fort Worth,2015,Second,1,$50,32.796772417648505,-97.1884470601979,Tarrant County,76118
Corpus Christi,2017,Second,1,$55,27.705564688611197,-97.3472835335135,Nueces County,78412
Corpus Christi,2016,Third,2,$85,27.722743095082198,-97.37313063114729,Nueces County,78412
College Station,2016,First,2,$100,30.612486239103998,-96.3052773550965,Brazos County,77840
New Braunfels,2015,Third,2,$250,29.708310627533198,-98.1096331478158,Comal County,78130
Dallas,2013,Fourth,1,$50,32.7677895825872,-96.78739314845129,Dallas County,75215
Dallas,2013,Third,1,$79,32.798163175043804,-96.79518007347392,Dallas County,75204
McKinney,2014,Fourth,2,$100,33.1941872240223,-96.64157070320829,Collin County,75070-4501
Denton,2014,Fourth,Studio,$30,33.2198928886622,-97.0981645629027,Denton County,76209
Edom,2015,Fourth,1,$115,32.3747004604437,-95.53839259755951,Van Zandt County,
Paige,2016,Third,1,$125,30.2249288833083,-97.16658130620858,Bastrop County,78659
Houston,2017,Second,2,$73,29.6923582744961,-95.2488542471964,Harris County,77017
League City,2017,First,3,$2000,29.5434034984992,-95.07377208603441,Galveston County,77058
Houston,2013,Second,1,$80,29.7541629395603,-95.3454287242847,Harris County,77003
Arlington,2016,Third,2,$45,32.7856923258021,-97.10252133846399,Tarrant County,76006
Llano,2017,Second,1,$199,30.5766431643331,-98.47100431986411,Llano County,
Houston,2015,Second,1,$73,29.7532561029389,-95.4586631445655,Harris County,77056
Austin,2013,Second,1,$33,30.3462213196081,-97.68762240143629,Travis County,78753
Hutto,2014,Fourth,1,$29,30.5383302041189,-97.5496737044829,Williamson County,78634
Lago Vista,2015,Fourth,1,$135,30.440359730348202,-98.02192694923241,Travis County,78645
Galveston,2015,Third,1,$129,29.2924367504713,-94.7985903585378,Galveston County,77550
Spicewood,2014,Fourth,3,$499,30.400585469660502,-98.00034229046891,Travis County,78669
Houston,2016,First,Studio,$69,29.7377184204677,-95.3286185587633,Harris County,77023
Galveston,2015,First,1,$90,29.2968261431805,-94.7926881615133,Galveston County,77550
Belton,2016,Third,1,$725,30.9959970959789,-97.4020991485755,Bell County,76554
Dallas,2016,Second,1,$66,32.8199628031033,-96.70168684052429,Dallas County,75218
Richmond,2016,Second,4,$2395,29.6219310484732,-95.7238425230027,Fort Bend County,77406
Carrollton,2013,Second,1,$50,32.9622483633283,-96.84762323004949,Dallas County,75001
Austin,2016,Second,Studio,$99,30.282547832560898,-97.82910594581341,Travis County,78746
Denton,2016,Second,3,$125,33.1434200986208,-97.1178219846919,Denton County,76210
Eddy,2015,First,1,$69,31.302835937459804,-97.2849255241954,McLennan County,76524
Rockport,2015,First,3,$189,28.043537128203102,-97.03210808283809,Aransas County,78382
Manor,2016,First,1,$32,30.318644624917198,-97.5357625803453,Travis County,78653
Killeen,2015,Third,1,$59,31.0764099917098,-97.7215269599078,Bell County,76542
Euless,2016,Third,3,$120,32.8329861858842,-97.1111451745707,Tarrant County,76040
Celina,2016,Third,1,$70,33.3245308171323,-96.79018067672159,Collin County,75009
Houston,2017,Second,1,$75,29.671836305898598,-95.4234762765994,Harris County,77025
Dallas,2014,Third,1,$45,32.8462452136471,-96.74246165905909,Dallas County,54231
Arlington,2014,Fourth,3,$139,32.7553808707152,-97.0910779372461,Tarrant County,76011
Rockport,2017,First,1,$140,28.0178509187118,-97.0572714413879,Aransas County,78382
Austin,2013,Third,1,$83,30.252306429800402,-97.77757215406919,Travis County,78704
Lakeway,2015,Second,4,$690,30.3678429232317,-97.9980575553252,Travis County,78734
Rosenberg,2017,First,Studio,$25,29.5086022824436,-95.80310778028169,Fort Bend County,77469
Arlington,2015,Second,1,$29,32.7280336270447,-97.1405240071461,Tarrant County,76013
McKinney,2014,First,2,$110,33.2046502695329,-96.61962981239272,Collin County,75069
Brazoria,2013,First,1,$215,29.043094008821,-95.57157114527429,Brazoria County,77422
Marble Falls,2014,First,3,$244,30.5512090200253,-98.28522491854571,Burnet County,78657
Temple,2014,First,1,$55,31.0391924709791,-97.3673388147699,Bell County,76508
Crosby,2015,Fourth,3,$51,29.9154605054204,-95.0992445076658,Harris County,77532
La Porte,2016,Third,1,$55,29.625682464758395,-95.0122635694232,Harris County,77571
Port Aransas,2017,First,3,$375,27.816269417038804,-97.0713997720451,Nueces County,78373
Corpus Christi,2015,Fourth,1,$227,27.6015030156495,-97.2152470433477,Nueces County,
Texas City,2016,Fourth,4,$2000,29.4027028953934,-94.92380238472158,Galveston County,77590
Fort Worth,2016,Second,3,$300,32.7395347825031,-97.38133597373181,Tarrant County,76107
Canton,2016,Third,1,$145,32.4768954280327,-95.9264612932766,Van Zandt County,75103
Lakeway,2016,First,2,$243,30.371143463691897,-97.98740990287071,Travis County,78734
Austin,2017,Second,1,$35,30.216030177163702,-97.8586914245625,Travis County,78749
Leander,2015,First,1,$135,30.505272039681696,-97.8771735993657,Travis County,78641
Amarillo,2016,Third,1,$56,35.1321310223634,-101.90844758092199,Randall County,79109
Dripping Springs,2016,First,2,$139,30.2140433966122,-98.025058066023,Hays County,78620
Sugar Land,2015,First,4,$400,29.548111299633003,-95.68005069456409,Fort Bend County,77479
Bryan,2015,Third,3,$600,30.6739216432014,-96.3305460328551,Brazos County,77808
Spicewood,2015,Fourth,1,$90,30.357252349779998,-98.04330924817921,Travis County,
Austin,2013,First,2,$364,30.273943952790898,-97.7304314753081,Travis County,78702
Bryan,2016,Fourth,1,$60,30.7173195027909,-96.37642964017121,Brazos County,77808
Port Isabel,2015,First,2,$220,26.0620739971945,-97.20710351207701,Cameron County,78578
South Padre Island,2017,First,2,$185,26.102881184260898,-97.1650949621042,Cameron County,78597
Austin,2014,Fourth,4,$399,30.2324396887511,-97.77998492861559,Travis County,78704-7205
Laguna Vista,2015,First,2,$100,26.117473086559702,-97.30439909411079,Cameron County,78578
Austin,2014,First,1,$135,30.265300490647302,-97.6999154356187,Travis County,78702
College Station,2016,Second,3,$450,30.554600831595604,-96.28789728895791,Brazos County,77845
Port Isabel,2016,Fourth,1,$70,26.072462388036104,-97.20946416474659,Cameron County,78578
Fort Worth,2017,Second,4,$1150,32.8837002481593,-97.4522611319289,Tarrant County,76179
Lago Vista,2014,Second,3,$475,30.415363279516896,-97.9845744725589,Travis County,78645
College Station,2016,First,1,$75,30.621760615475804,-96.31600460046509,Brazos County,77840
